event-id,visible,timestamp,algorithm-marked-outlier,external-temperature,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,WKT
1930863887,true,2005-02-21T01:04:00Z,NA,28.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54532064 31.78865967)
1930863888,true,2005-02-21T02:04:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54522095 31.78913981)
1930863889,true,2005-02-21T03:05:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54608968 31.7889506)
1930863890,true,2005-02-21T04:05:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.54545898 31.78975016)
1930863891,true,2005-02-21T05:05:00Z,NA,30.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.53376058 31.79763997)
1930863892,true,2005-02-21T06:04:00Z,NA,32.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.51539917 31.79642944)
1930863893,true,2005-02-21T07:04:00Z,NA,37.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4995992 31.80673014)
1930863894,true,2005-02-21T08:05:00Z,NA,37.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49753011 31.8074707)
1930863895,true,2005-02-21T09:04:00Z,NA,37.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49995931 31.80027059)
1930863896,true,2005-02-21T10:04:00Z,NA,41.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50069987 31.7995992)
1930863897,true,2005-02-21T11:04:00Z,NA,37.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50194906 31.79712931)
1930863898,true,2005-02-21T12:04:00Z,NA,43.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50209961 31.79729004)
1930863899,true,2005-02-21T13:04:00Z,NA,83.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50206909 31.79731038)
1930863900,true,2005-02-21T14:04:00Z,NA,44,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50241903 31.79725952)
1930863901,true,2005-02-21T15:04:00Z,NA,38.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.50198975 31.79730021)
1930863902,true,2005-02-21T16:05:00Z,NA,31,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49731038 31.79585978)
1930863903,true,2005-02-21T17:04:00Z,NA,29.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49773966 31.79232992)
1930863904,true,2005-02-21T18:04:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49756063 31.79207967)
1930863905,true,2005-02-21T19:04:00Z,NA,27.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49582926 31.78930054)
1930863906,true,2005-02-21T20:04:00Z,NA,28.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4946106 31.7886495)
1930863907,true,2005-02-21T21:04:00Z,NA,28.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.49262085 31.78786011)
1930863908,true,2005-02-21T22:04:00Z,NA,27.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48988037 31.7884908)
1930863909,true,2005-02-21T23:04:00Z,NA,26.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48951009 31.78850911)
1930863910,true,2005-02-22T00:04:00Z,NA,26.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48314006 31.78683065)
1930863911,true,2005-02-22T01:04:00Z,NA,28.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4802002 31.78121948)
1930863912,true,2005-02-22T02:04:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48323975 31.7817098)
1930863913,true,2005-02-22T03:04:00Z,NA,27.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48307088 31.78186035)
1930863914,true,2005-02-22T04:04:00Z,NA,28.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48312988 31.78176066)
1930863915,true,2005-02-22T05:04:00Z,NA,30.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48175049 31.7831604)
1930863916,true,2005-02-22T06:04:00Z,NA,33.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48484904 31.7868103)
1930863917,true,2005-02-22T07:04:00Z,NA,35.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48519084 31.79195964)
1930863918,true,2005-02-22T08:04:00Z,NA,35.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4864502 31.79605916)
1930863919,true,2005-02-22T09:04:00Z,NA,35.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48648071 31.79616089)
1930863920,true,2005-02-22T10:04:00Z,NA,42.8,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48649089 31.79620972)
1930863921,true,2005-02-22T11:04:00Z,NA,42.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4865092 31.79623006)
1930863922,true,2005-02-22T12:04:00Z,NA,40,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48649089 31.79621989)
1930863923,true,2005-02-22T13:04:00Z,NA,38.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48647054 31.79619954)
1930863924,true,2005-02-22T14:04:00Z,NA,38.1,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48590902 31.79638062)
1930863925,true,2005-02-22T15:04:00Z,NA,36.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48563029 31.79515991)
1930863926,true,2005-02-22T16:04:00Z,NA,34.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48756917 31.7928304)
1930863927,true,2005-02-22T17:04:00Z,NA,32.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48838094 31.790861)
1930863928,true,2005-02-22T18:04:00Z,NA,30.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48869019 31.79025065)
1930863929,true,2005-02-22T19:04:00Z,NA,29.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48875936 31.79017944)
1930863930,true,2005-02-22T20:04:00Z,NA,30.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.4887797 31.79015096)
1930863931,true,2005-02-22T21:04:00Z,NA,29.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48907064 31.78977051)
1930863932,true,2005-02-22T22:04:00Z,NA,29.5,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48866984 31.79023031)
1930863933,true,2005-02-22T23:04:00Z,NA,29.2,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.48580933 31.78952026)
1930863934,true,2005-02-23T00:04:00Z,NA,28.4,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.47731934 31.78805949)
1930863935,true,2005-02-23T01:04:00Z,NA,27.7,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.47175903 31.78204956)
1930863936,true,2005-02-23T02:04:00Z,NA,27.3,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.46212972 31.77828979)
1930863937,true,2005-02-23T03:04:00Z,NA,26.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.45710042 31.77802938)
1930863938,true,2005-02-23T04:04:00Z,NA,26.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.452889 31.77752075)
1930863939,true,2005-02-23T05:05:00Z,NA,29.9,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.44326986 31.76772054)
1930863940,true,2005-02-23T06:04:00Z,NA,33.6,NA,gps,Syncerus caffer,T8,Queen,"Kruger African Buffalo, GPS tracking, South Africa",POINT (-24.44065959 31.77050985)
